Time,thermalZone.ROM.thermSplitterSolRad.portIn[1].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[2].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[3].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[4].Q_flow,thermalZone.ROM.convHeatSol.Q_flow
569700,932.7295,549.1201,200.11877,200.11877,58.20888
570600,886.1625,580.6045,179.36163,179.36163,56.45846
571500,723.30176,530.2575,149.15431,149.15431,47.995914
572400,438.02695,360.6585,109.02737,109.02737,31.445574
573300,171.4423,158.31319,68.58617,68.58617,14.441067
574200,39.44743,39.447063,39.415924,39.415924,4.8781343
575100,22.126226,22.126226,22.126226,22.126226,2.737265
576000,9.806399,9.806399,9.806399,9.806399,1.2131628
576900,2.4268467,2.4268467,2.4268467,2.4268467,0.30022848
577800,0,0,0,0,0
578700,0,0,0,0,0
579600,0,0,0,0,0
580500,0,0,0,0,0
581400,0,0,0,0,0
582300,0,0,0,0,0
583200,0,0,0,0,0
584100,0,0,0,0,0
585000,0,0,0,0,0
585900,0,0,0,0,0
586800,0,0,0,0,0
587700,0,0,0,0,0
588600,0,0,0,0,0
589500,0,0,0,0,0
590400,0,0,0,0,0
591300,0,0,0,0,0
592200,0,0,0,0,0
593100,0,0,0,0,0
594000,0,0,0,0,0
594900,0,0,0,0,0
595800,0,0,0,0,0
596700,0,0,0,0,0
597600,0,0,0,0,0
598500,0,0,0,0,0
599400,0,0,0,0,0
600300,0,0,0,0,0
601200,0,0,0,0,0
602100,0,0,0,0,0
603000,0,0,0,0,0
603900,0,0,0,0,0
604800,0,0,0,0,0
605700,0,0,0,0,0
606600,0,0,0,0,0
607500,0,0,0,0,0
608400,0,0,0,0,0
609300,0,0,0,0,0
610200,0,0,0,0,0
611100,0,0,0,0,0
612000,0,0,0,0,0
612900,0,0,0,0,0
613800,0,0,0,0,0
614700,0,0,0,0,0
615600,0,0,0,0,0
616500,0,0,0,0,0
617400,0,0,0,0,0
618300,0,0,0,0,0
619200,0,0,0,0,0
620100,0,0,0,0,0
621000,0,0,0,0,0
621900,0,0,0,0,0
622800,0,0,0,0,0
623700,0,0,0,0,0
624600,0,0,0,0,0
625500,0,0,0,0,0
626400,0,0,0,0,0
627300,0,0,0,0,0
628200,0,0,0,0,0
629100,0,0,0,0,0
630000,0,0,0,0,0
630900,0,0,0,0,0
631800,0,0,0,0,0
632700,0.77852046,0.77852046,0.77852046,0.77852046,0.09631181
633600,4.0038433,4.0038433,4.0038433,4.0038433,0.4953208
634500,11.019098,11.019098,11.019098,11.019098,1.3631874
635400,27.997894,22.525753,22.525753,29.033546,3.1572046
636300,180.02466,41.094463,41.094463,191.79218,14.041415
637200,542.6859,65.42201,65.42201,521.6424,36.964092
638100,992.0744,91.41499,91.41499,845.94745,62.500572
639000,1381.6498,115.951614,115.951614,1036.268,81.953224
639900,1749.5165,141.84079,141.84079,1144.6423,98.28372
640800,2070.0183,164.48395,164.48395,1161.3751,110.11427
641700,2364.549,186.28784,186.28784,1117.0288,119.20063
642600,2598.3423,206.30687,206.30687,1013.108,124.45559
643500,2769.9429,223.76476,223.76476,872.5209,126.49464
644400,2907.5164,238.61148,238.61148,723.1693,127.04872
645300,3020.248,251.00255,251.00255,581.28754,126.91363
