Time,thermalZone.ROM.thermSplitterSolRad.portIn[1].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[2].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[3].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[4].Q_flow,thermalZone.ROM.convHeatSol.Q_flow
216900,117.17314,117.34892,117.3518,117.3518,14.512134
217800,119.4592,118.87135,118.82094,118.82094,14.720797
218700,121.911156,120.047104,119.737724,119.737724,14.889703
219600,124.86819,121.087715,120.10413,120.10413,15.036005
220500,128.6114,122.37503,120.0485,120.0485,15.188148
221400,132.9265,124.229004,119.77933,119.77933,15.362293
222300,135.16095,124.732704,117.57111,117.57111,15.310388
223200,132.5273,121.92453,112.20575,112.20575,14.810205
224100,126.31025,116.51681,104.4348,104.4348,13.969999
225000,118.088326,109.541985,94.99366,94.99366,12.916009
225900,90.78621,87.03338,77.76083,77.76083,10.309524
226800,51.33941,51.33941,51.33941,51.33941,6.351267
227700,25.275352,25.275352,25.275352,25.275352,3.1268477
228600,10.763824,10.763824,10.763824,10.763824,1.3316071
229500,5.9947715,5.9947715,5.9947715,5.9947715,0.7416212
230400,2.6357086,2.6357086,2.6357086,2.6357086,0.32606703
231300,0.6506146,0.6506146,0.6506146,0.6506146,0.080488406
232200,0,0,0,0,0
233100,0,0,0,0,0
234000,0,0,0,0,0
234900,0,0,0,0,0
235800,0,0,0,0,0
236700,0,0,0,0,0
237600,0,0,0,0,0
238500,0,0,0,0,0
239400,0,0,0,0,0
240300,0,0,0,0,0
241200,0,0,0,0,0
242100,0,0,0,0,0
243000,0,0,0,0,0
243900,0,0,0,0,0
244800,0,0,0,0,0
245700,0,0,0,0,0
246600,0,0,0,0,0
247500,0,0,0,0,0
248400,0,0,0,0,0
249300,0,0,0,0,0
250200,0,0,0,0,0
251100,0,0,0,0,0
252000,0,0,0,0,0
252900,0,0,0,0,0
253800,0,0,0,0,0
254700,0,0,0,0,0
255600,0,0,0,0,0
256500,0,0,0,0,0
257400,0,0,0,0,0
258300,0,0,0,0,0
259200,0,0,0,0,0
260100,0,0,0,0,0
261000,0,0,0,0,0
261900,0,0,0,0,0
262800,0,0,0,0,0
263700,0,0,0,0,0
264600,0,0,0,0,0
265500,0,0,0,0,0
266400,0,0,0,0,0
267300,0,0,0,0,0
268200,0,0,0,0,0
269100,0,0,0,0,0
270000,0,0,0,0,0
270900,0,0,0,0,0
271800,0,0,0,0,0
272700,0,0,0,0,0
273600,0,0,0,0,0
274500,0,0,0,0,0
275400,0,0,0,0,0
276300,0,0,0,0,0
277200,0,0,0,0,0
278100,0,0,0,0,0
279000,0,0,0,0,0
279900,0,0,0,0,0
280800,0,0,0,0,0
281700,0,0,0,0,0
282600,0,0,0,0,0
283500,0,0,0,0,0
284400,0,0,0,0,0
285300,0,0,0,0,0
286200,0,0,0,0,0
287100,1.9788666,1.9788666,1.9788666,1.9788666,0.24480823
288000,7.545569,7.545569,7.545569,7.545569,0.93347245
288900,17.674063,16.076952,16.076952,18.143772,2.1022186
289800,45.447178,25.930927,25.930927,48.683727,4.51524
290700,261.76288,48.95878,48.95878,274.2423,19.605858
291600,771.6515,84.74142,84.74142,727.11774,51.595425
292500,1321.498,119.5149,119.5149,1106.9269,82.498604
293400,1567.0736,140.95293,140.95293,1158.7527,93.022644
294300,1415.5396,149.78438,149.78438,924.5654,81.6394
295200,1036.0564,155.03674,155.03674,612.19946,60.566887
296100,565.1331,154.65279,154.65279,331.91562,37.30993
297000,336.77072,153.71332,153.71332,221.46217,26.772976
297900,273.40424,149.34677,149.34677,186.0287,23.44721
298800,213.16426,142.60423,142.60423,159.11125,20.334557
299700,167.82607,136.1431,136.1431,142.37358,18.015026
300600,147.80904,132.79503,132.79503,135.43138,16.974138
301500,146.42712,133.1,133.1,134.59027,16.92425
302400,148.4381,134.80344,134.80344,135.46674,17.11892
303300,151.43869,136.79106,136.57903,136.57903,17.362509
304200,153.10641,138.33461,137.09772,137.09772,17.49391
305100,154.56973,139.39397,136.9097,136.9097,17.5603
306000,156.18228,140.29703,136.20494,136.20494,17.594511
306900,154.21533,138.82907,133.1348,133.1348,17.298372
307800,144.62059,132.18295,125.86344,125.86344,16.346302
308700,127.78677,119.96896,114.633514,114.633514,14.753282
309600,107.78462,104.506,101.51849,101.51849,12.845184
310500,87.24372,87.25372,87.266,87.266,10.794724
311400,72.154594,72.21874,72.327255,72.327255,8.939006
312300,56.410007,56.410007,56.410007,56.410007,6.9785576
313200,39.428894,39.428894,39.428894,39.428894,4.8778014
314100,23.51448,23.51448,23.51448,23.51448,2.909008
315000,10.76253,10.76253,10.76253,10.76253,1.331447
315900,3.1991038,3.1991038,3.1991038,3.1991038,0.39576542
316800,0.16653705,0.16653705,0.16653705,0.16653705,0.02060252
317700,0,0,0,0,0
318600,0,0,0,0,0
319500,0,0,0,0,0
320400,0,0,0,0,0
321300,0,0,0,0,0
322200,0,0,0,0,0
323100,0,0,0,0,0
324000,0,0,0,0,0
324900,0,0,0,0,0
325800,0,0,0,0,0
326700,0,0,0,0,0
327600,0,0,0,0,0
328500,0,0,0,0,0
329400,0,0,0,0,0
330300,0,0,0,0,0
331200,0,0,0,0,0
332100,0,0,0,0,0
333000,0,0,0,0,0
333900,0,0,0,0,0
334800,0,0,0,0,0
335700,0,0,0,0,0
336600,0,0,0,0,0
337500,0,0,0,0,0
338400,0,0,0,0,0
339300,0,0,0,0,0
340200,0,0,0,0,0
341100,0,0,0,0,0
342000,0,0,0,0,0
342900,0,0,0,0,0
343800,0,0,0,0,0
344700,0,0,0,0,0
345600,0,0,0,0,0
346500,0,0,0,0,0
347400,0,0,0,0,0
348300,0,0,0,0,0
349200,0,0,0,0,0
350100,0,0,0,0,0
351000,0,0,0,0,0
351900,0,0,0,0,0
352800,0,0,0,0,0
353700,0,0,0,0,0
354600,0,0,0,0,0
355500,0,0,0,0,0
356400,0,0,0,0,0
357300,0,0,0,0,0
358200,0,0,0,0,0
359100,0,0,0,0,0
360000,0,0,0,0,0
360900,0,0,0,0,0
361800,0,0,0,0,0
362700,0,0,0,0,0
363600,0,0,0,0,0
364500,0,0,0,0,0
365400,0,0,0,0,0
366300,0,0,0,0,0
367200,0,0,0,0,0
368100,0,0,0,0,0
369000,0,0,0,0,0
369900,0,0,0,0,0
370800,0,0,0,0,0
371700,0,0,0,0,0
372600,0,0,0,0,0
373500,1.040201,1.040201,1.040201,1.040201,0.12868465
374400,4.095665,4.095665,4.095665,4.095665,0.5066802
375300,9.542817,9.542817,9.542817,9.542817,1.1805546
376200,22.691809,20.4077,20.4077,23.083506,2.6780634
377100,264.16306,37.063934,37.063934,279.2645,19.099653
378000,816.11035,54.43012,54.43012,769.4415,52.4045
378900,1445.264,71.40742,71.40742,1199.537,86.21493
379800,1953.7921,89.46453,89.46453,1417.9303,109.813965
380700,2202.2698,105.33352,105.33352,1381.0126,117.33864
381600,2420.167,120.94159,120.94159,1290.522,122.2445
382500,2593.3577,136.48552,136.48552,1153.335,124.31949
383400,2707.385,152.15248,152.15248,982.9887,123.54676
384300,2782.569,167.17915,167.17915,805.79694,121.32137
385200,2841.7388,180.69003,180.69003,640.40497,118.871864
386100,2873.5059,192.70149,192.70149,494.62527,116.088684
387000,2866.1191,203.23865,203.23865,376.44263,112.85688
387900,2803.6526,212.5737,212.5737,291.88086,108.88703
388800,2677.2117,220.0783,220.0783,241.06647,103.86911
389700,2500.9978,227.19606,224.50705,224.50705,98.26417
390600,2431.9783,265.18954,230.56465,230.56465,97.6793
391500,2392.985,327.97418,232.442,232.442,98.531235
392400,2349.9016,410.2725,228.42055,228.42055,99.495316
393300,2299.784,510.74252,220.54524,220.54524,100.565475
394200,2240.5596,626.9282,210.78127,210.78127,101.723206
395100,2199.0342,760.5657,199.60149,199.60149,103.8805
396000,2179.0254,912.174,186.17805,186.17805,107.12028
396900,2146.3967,1069.0321,170.52887,170.52887,109.99444
397800,2069.933,1208.3302,152.66882,152.66882,110.83302
398700,1694.666,1149.6494,129.03351,129.03351,95.949974
399600,969.1132,756.57477,96.24567,96.24567,59.325134
400500,358.96732,321.2538,67.73533,67.73533,25.227581
401400,56.069923,55.95193,43.634384,43.634384,6.1636276
402300,31.857338,32.329124,27.164728,27.164728,3.6654408
403200,13.1708555,13.146204,13.282013,13.282013,1.6354975
404100,3.5304358,3.5304358,3.5304358,3.5304358,0.43675494
405000,0,0,0,0,0
405900,0,0,0,0,0
406800,0,0,0,0,0
407700,0,0,0,0,0
408600,0,0,0,0,0
409500,0,0,0,0,0
410400,0,0,0,0,0
411300,0,0,0,0,0
412200,0,0,0,0,0
413100,0,0,0,0,0
414000,0,0,0,0,0
414900,0,0,0,0,0
415800,0,0,0,0,0
416700,0,0,0,0,0
417600,0,0,0,0,0
418500,0,0,0,0,0
419400,0,0,0,0,0
420300,0,0,0,0,0
421200,0,0,0,0,0
422100,0,0,0,0,0
423000,0,0,0,0,0
423900,0,0,0,0,0
424800,0,0,0,0,0
425700,0,0,0,0,0
426600,0,0,0,0,0
427500,0,0,0,0,0
428400,0,0,0,0,0
429300,0,0,0,0,0
430200,0,0,0,0,0
431100,0,0,0,0,0
432000,0,0,0,0,0
432900,0,0,0,0,0
433800,0,0,0,0,0
434700,0,0,0,0,0
435600,0,0,0,0,0
436500,0,0,0,0,0
437400,0,0,0,0,0
438300,0,0,0,0,0
439200,0,0,0,0,0
440100,0,0,0,0,0
441000,0,0,0,0,0
441900,0,0,0,0,0
442800,0,0,0,0,0
443700,0,0,0,0,0
444600,0,0,0,0,0
445500,0,0,0,0,0
446400,0,0,0,0,0
447300,0,0,0,0,0
448200,0,0,0,0,0
449100,0,0,0,0,0
450000,0,0,0,0,0
450900,0,0,0,0,0
451800,0,0,0,0,0
452700,0,0,0,0,0
453600,0,0,0,0,0
454500,0,0,0,0,0
455400,0,0,0,0,0
456300,0,0,0,0,0
457200,0,0,0,0,0
458100,0,0,0,0,0
459000,0,0,0,0,0
459900,0.22760437,0.22760437,0.22760437,0.22760437,0.028157242
460800,1.1415545,1.1415545,1.1415545,1.1415545,0.14122324
461700,3.0972693,3.0972693,3.0972693,3.0972693,0.38316733
462600,6.4549584,6.4549584,6.4549584,6.4549584,0.79855156
463500,12.45966,12.45966,12.45966,12.45966,1.5414011
464400,20.85547,20.85547,20.85547,20.85547,2.5800583
465300,29.674084,29.674084,29.674084,29.674084,3.6710205
466200,36.92029,36.92029,36.92029,36.92029,4.5674586
467100,42.47935,42.47935,42.47935,42.47935,5.2551775
468000,47.77869,47.77869,47.77869,47.77869,5.9107656
468900,53.127556,53.127556,53.127556,53.127556,6.572481
469800,58.836456,58.836456,58.836456,58.836456,7.278737
470700,65.066795,65.066795,65.066795,65.066795,8.0495
471600,71.66894,71.66894,71.66894,71.66894,8.866261
472500,78.48777,78.48777,78.48777,78.48777,9.709827
473400,85.36762,85.36762,85.36762,85.36762,10.560943
474300,94.874626,94.874626,94.874626,94.874626,11.737067
475200,107.017426,107.0495,107.0495,107.04782,13.242193
476100,117.48188,117.951485,117.95658,117.95658,14.577727
477000,125.04751,123.26383,123.121544,123.121544,15.295498
477900,123.43762,121.80173,121.54111,121.54111,15.102729
478800,116.21541,116.03855,115.993866,115.993866,14.35799
479700,108.34436,108.82234,108.996544,108.996544,13.45855
480600,102.68195,103.148476,103.38244,103.38244,12.760679
481500,99.785965,100.1331,100.36725,100.36725,12.391348
482400,99.20813,98.690765,98.2245,98.2245,12.196327
483300,101.5678,98.83737,95.52467,95.52467,12.106841
484200,103.693665,99.0664,91.324905,91.324905,11.919893
485100,87.65349,85.00444,78.58452,78.58452,10.200834
486000,55.9153,55.93698,56.021103,56.021103,6.9245715
486900,32.18749,32.18749,32.18749,32.18749,3.9819572
487800,17.288692,17.288692,17.288692,17.288692,2.1388073
488700,10.42309,10.42309,10.42309,10.42309,1.2894545
489600,4.938195,4.938195,4.938195,4.938195,0.6109108
490500,1.3046418,1.3046418,1.3046418,1.3046418,0.16139899
491400,0,0,0,0,0
492300,0,0,0,0,0
493200,0,0,0,0,0
494100,0,0,0,0,0
495000,0,0,0,0,0
495900,0,0,0,0,0
496800,0,0,0,0,0
497700,0,0,0,0,0
498600,0,0,0,0,0
499500,0,0,0,0,0
500400,0,0,0,0,0
501300,0,0,0,0,0
502200,0,0,0,0,0
503100,0,0,0,0,0
504000,0,0,0,0,0
504900,0,0,0,0,0
505800,0,0,0,0,0
506700,0,0,0,0,0
507600,0,0,0,0,0
508500,0,0,0,0,0
509400,0,0,0,0,0
510300,0,0,0,0,0
511200,0,0,0,0,0
512100,0,0,0,0,0
513000,0,0,0,0,0
513900,0,0,0,0,0
514800,0,0,0,0,0
515700,0,0,0,0,0
516600,0,0,0,0,0
517500,0,0,0,0,0
518400,0,0,0,0,0
519300,0,0,0,0,0
520200,0,0,0,0,0
521100,0,0,0,0,0
522000,0,0,0,0,0
522900,0,0,0,0,0
