Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
1897200,0,0,258.35,0
1900800,0,0,257.85,0
1904400,0,0,257.55,0
1908000,0,0,257.25,0
1911600,0,0,257.05,0
1915200,0,0,256.65,0
1918800,0,0,256.25,0
1922400,0,98.54103,256.25,0
1926000,0,0,256.05,0
1929600,0,5930.3467,255.95,8.495193
1933200,0,10000,256.05,87.42981
1936800,0,9591.1875,256.55,184.5125
1940400,0,8520.76,257.95,254.83424
1944000,0,7695.8306,259.25,279.87912
1947600,0,7193.7993,260.65,253.41461
1951200,0,6713.4556,260.85,197.78778
1954800,0,6002.66,261.15,117.00936
1958400,0,5910.1196,260.95,22.637377
1962000,0,6535.808,260.15,0
1965600,0,7128.6753,259.35,0
1969200,0,8358.182,259.05,0
1972800,0,9343.646,258.75,0
1976400,0,9807.88,258.35,0
1980000,0,2814.2385,257.95,0
1983600,0,0,257.65,0
1987200,0,0,257.35,0
1990800,0,0,257.25,0
1994400,0,0,257.15,0
1998000,0,0,256.75,0
2001600,0,0,256.45,0
2005200,0,152.1359,256.35,0
2008800,0,655.98987,256.25,0
2012400,0,0,256.25,0
2016000,0,6406.997,256.25,8.545455
2019600,0,10000,256.35,94.07301
2023200,0,9763.349,258.05,201.85028
2026800,0,8572.8955,260.75,272.5703
2030400,0,7616.88,262.95,280.0405
2034000,0,7088.567,264.65,242.49545
2037600,0,6703.4995,265.75,159.09763
2041200,0,6465.003,265.45,81.61051
2044800,0,6362.0693,265.35,18.716867
2048400,0,6573.3687,264.95,0
2052000,0,6869.2847,264.55,0
2055600,0,7909.7695,264.35,0
2059200,0,8768.52,264.35,0
2062800,0,9103.957,264.35,0
2066400,0,1930.0771,264.15,0
2070000,0,0,264.15,0
2073600,0,0,264.65,0
2077200,0,0,265.05,0
2080800,0,0,265.45,0
2084400,0,0,265.65,0
2088000,0,0,265.95,0
2091600,0,0,266.55,0
2095200,0,0,267.15,0
2098800,0,0,267.45,0
2102400,0,4165.3843,267.45,6.219512
2106000,0,8842.454,267.75,38.344826
2109600,0,9219.255,268.35,93.81434
2113200,0,8565.497,268.85,134.305
2116800,0,7947.4814,269.35,139.01782
2120400,0,7553.5,269.65,143.02579
2124000,0,7139.1885,269.75,125.29172
2127600,0,6700.1367,269.85,64.18637
2131200,0,6484.181,269.85,11.578297
2134800,0,6455.9624,269.15,0.21634616
2138400,0,6611.068,268.45,0
2142000,0,7576.3384,268.05,0
2145600,0,8366.443,268.25,0
2149200,0,8635.287,268.15,0
2152800,0,1383.2672,268.05,0
2156400,0,0,267.95,0
2160000,0,0,267.45,0
2163600,0,0,266.65,0
2167200,0,0,266.15,0
2170800,0,0,265.85,0
2174400,0,0,266.15,0
2178000,0,0,266.25,0
2181600,0,0,266.15,0
2185200,0,0,265.75,0
2188800,0,4435.6255,264.95,9.701087
2192400,0,9075.428,264.85,89.23939
2196000,0,8451.536,266.05,182.96634
2199600,0,7114.683,267.85,264.49942
2203200,0,5953.0913,269.05,298.35132
2206800,0,5235.6563,269.35,288.32574
2210400,0,4495.205,269.85,236.64394
2214000,0,3832.8955,269.55,138.06332
2217600,0,3884.9934,269.25,28.209402
2221200,0,4585.422,267.95,0
2224800,0,5106.839,267.25,0
2228400,0,6188.194,267.45,0
2232000,0,7119.5605,266.95,0
2235600,0,7593.743,266.35,0
2239200,0,549.90515,265.85,0
2242800,0,0,265.05,0
2246400,0,0,264.35,0
2250000,0,0,264.15,0
2253600,0,0,264.05,0
2257200,0,0,263.65,0
2260800,0,0,263.45,0
2264400,0,0,262.55,0
2268000,0,0,262.05,0
2271600,0,0,261.35,0
2275200,0,6277.0522,261.25,10.620689
2278800,0,10000,261.75,96.18271
2282400,0,8624.635,263.85,198.0253
2286000,0,6878.0615,265.55,273.82715
2289600,0,5637.317,268.15,303.46915
2293200,0,4774.0366,269.05,294.40964
2296800,0,3897.8591,270.05,246.79726
2300400,0,2961.5635,269.85,150.9619
2304000,0,2956.1833,269.05,33.706203
2307600,0,3922.033,268.05,0
2311200,0,4608.0034,266.45,0
2314800,0,5102.5776,265.55,0
2318400,0,5330.5205,264.85,0
2322000,0,6388.8066,265.05,0
2325600,0,0,263.85,0
2329200,0,0,263.35,0
2332800,0,0,263.45,0
2336400,0,0,262.85,0
2340000,0,0,262.45,0
2343600,0,0,262.85,0
2347200,0,0,261.45,0
2350800,0,0,261.25,0
2354400,0,0,260.95,0
2358000,0,0,260.85,0
2361600,0,6088.245,261.45,11.5
2365200,0,10000,261.85,100.148056
2368800,0,8320.72,264.55,204.29047
2372400,0,6372.588,267.55,280.58997
2376000,0,4984.855,270.05,311.28104
2379600,0,4121.7183,270.55,300.88095
2383200,0,3302.8992,271.05,251.82162
2386800,0,2399.6384,271.65,153.51984
2390400,0,2357.3647,271.05,35.121475
2394000,0,3378.3684,269.15,0
2397600,0,4144.4404,267.25,0
2401200,0,4698.16,266.25,0
2404800,0,4956.784,265.45,0
2408400,0,6100.0884,264.95,0
2412000,0,0,264.45,0
2415600,0,0,264.15,0
2419200,0,0,263.75,0
2422800,0,0,263.85,0
2426400,0,0,263.45,0
2430000,0,0,263.35,0
2433600,0,0,262.95,0
2437200,0,0,262.75,0
2440800,0,0,262.85,0
2444400,0,0,262.75,0
2448000,0,3948.7605,262.85,14.264706
2451600,0,8256.901,263.75,104.3519
2455200,0,7184.6187,266.65,205.37558
2458800,0,5833.175,269.35,246.65211
2462400,0,5114.6514,271.05,217.38695
2466000,0,4694.9556,273.15,207.11874
2469600,0,3847.38,274.15,218.65172
2473200,0,2633.1677,274.35,159.90358
2476800,0,2181.032,273.85,45.8185
2480400,0,3119.3928,271.95,0
2484000,0,3809.128,270.05,0
2487600,0,5159.367,268.75,0
2491200,0,6279.451,268.05,0
2494800,0,6858.4443,267.15,0
2498400,0,0,266.95,0
2502000,0,0,267.45,0
2505600,0,0,267.65,0
2509200,0,0,268.55,0
2512800,0,0,267.75,0
2516400,0,0,268.05,0
2520000,0,0,267.05,0
2523600,0,0,266.45,0
2527200,0,0,265.65,0
2530800,0,0,266.25,0
2534400,0,3217.0583,266.55,10.756098
