Electricity.Timestep;Sum [kWh]
11475;0.067181028
11490;0.065494721
11505;0.065129649
11520;0.068547607
11535;0.078624893
11550;0.055234178
11565;0.057338701
11580;0.056630064
11595;0.042289097
11610;0.020154505
11625;0.015381483
11640;0.015238615
11655;0.015419782
11670;0.015184175
11685;0.015271286
11700;0.015166238
11715;0.015106718
11730;0.015336018
11745;0.014893576
11760;0.01526005
11775;0.015201501
11790;0.015381901
11805;0.014873861
11820;0.015139415
11835;0.015452694
11850;0.015480558
11865;0.02941737
11880;0.032948964
11895;0.044948545
11910;0.059963557
11925;0.276448231
11940;0.532962579
11955;0.419887825
11970;0.157784957
11985;0.066249029
12000;0.055023835
12015;0.444505081
12030;0.482801287
12045;0.566237277
12060;0.231139366
12075;0.242885325
12090;0.604726347
12105;0.220672682
12120;0.100879565
12135;0.102458809
12150;0.329300031
12165;0.451625928
12180;0.23826205
12195;0.18276806
12210;0.686968714
12225;0.738515111
12240;1.35420559
12255;1.327648421
12270;0.65020778
12285;0.577655473
12300;0.572219254
12315;0.346272852
12330;0.078196552
12345;0.155078887
12360;0.594126049
12375;0.582287435
12390;0.526520606
12405;0.616351058
12420;0.397264659
12435;0.054108897
12450;0.067060492
12465;0.072600693
12480;0.078889962
12495;0.085785671
12510;0.087085967
12525;0.085509507
12540;0.077289413
12555;0.059752465
12570;0.053893596
12585;0.073565606
12600;0.113033843
12615;0.12658523
12630;0.126927007
12645;0.130841208
12660;0.143913521
12675;0.175259077
12690;0.177892509
12705;0.168462316
12720;0.143699785
12735;0.108479476
12750;0.096632167
12765;0.076583136
12780;0.256304417
12795;0.357256605
12810;0.235748134
12825;0.081126771
12840;0.080890427
12855;0.055863184
12870;0.056655596
12885;0.056341864
12900;0.056549322
12915;0.055651365
12930;0.056894296
12945;0.051203176
12960;0.032569491
12975;0.041991548
12990;0.049685923
13005;0.038474491
13020;0.037825758
13035;0.038384069
13050;0.016133351
13065;0.015805318
13080;0.015148882
13095;0.015572432
13110;0.015532574
13125;0.015092443
13140;0.015331089
13155;0.015207616
13170;0.015112746
13185;0.014943064
13200;0.015477468
13215;0.031369064
13230;0.032074715
13245;0.032683289
13260;0.032873291
13275;0.02730875
13290;0.015137809
13305;0.018452557
13320;0.081082605
13335;0.120248382
13350;0.129361732
13365;0.542457603
13380;0.577570917
13395;0.202721786
13410;0.117276242
13425;0.174329468
13440;0.632980927
13455;0.447284496
13470;0.06218736
13485;0.550743157
13500;0.41745139
13515;0.098572746
13530;0.468060227
13545;0.434828364
13560;0.144113083
13575;0.069046387
13590;0.19190935
13605;0.077612499
13620;0.08671385
13635;0.070956013
13650;0.084219636
13665;0.086817485
13680;0.065630528
13695;0.06083743
13710;0.024615091
13725;0.68673385
13740;0.981923485
13755;1.378377014
13770;0.953166001
13785;0.570383606
13800;0.5150546
13815;0.538021587
13830;0.348130471
13845;0.507532272
13860;0.114468304
13875;0.491820869
13890;0.445749407
13905;0.139481907
13920;0.475061341
13935;0.086947343
13950;0.088578865
13965;0.085834135
