Time,QHeatTotal
2.20248e+07,0
2.20284e+07,0
2.2032e+07,0
2.20356e+07,0
2.20392e+07,0
2.20428e+07,0
2.20464e+07,0
2.205e+07,0
2.20536e+07,0
2.20572e+07,0
2.20608e+07,0
2.20644e+07,0
2.2068e+07,0
2.20716e+07,0
2.20752e+07,0
2.20788e+07,0
2.20824e+07,0
2.2086e+07,0
2.20896e+07,0
2.20932e+07,0
2.20968e+07,0
2.21004e+07,0
2.2104e+07,0
2.21076e+07,0
2.21112e+07,0
2.21148e+07,0
2.21184e+07,0
2.2122e+07,0
2.21256e+07,0
2.21292e+07,0
2.21328e+07,0
2.21364e+07,0
2.214e+07,0
2.21436e+07,0
2.21472e+07,0
2.21508e+07,0
2.21544e+07,0
2.2158e+07,0
2.21616e+07,0
2.21652e+07,0
2.21688e+07,0
2.21724e+07,0
2.2176e+07,0
2.21796e+07,0
2.21832e+07,0
2.21868e+07,0
2.21904e+07,0
2.2194e+07,0
2.21976e+07,0
2.22012e+07,0
2.22048e+07,0
2.22084e+07,0
2.2212e+07,0
2.22156e+07,0
2.22192e+07,0
2.22228e+07,0
2.22264e+07,0
2.223e+07,0
2.22336e+07,0
2.22372e+07,0
2.22408e+07,0
2.22444e+07,0
2.2248e+07,0
2.22516e+07,0
2.22552e+07,0
2.22588e+07,0
2.22624e+07,0
2.2266e+07,0
2.22696e+07,0
2.22732e+07,0
2.22768e+07,0
2.22804e+07,0
2.2284e+07,0
2.22876e+07,0
2.22912e+07,0
2.22948e+07,0
2.22984e+07,0
2.2302e+07,0
2.23056e+07,0
2.23092e+07,0
2.23128e+07,0
2.23164e+07,0
2.232e+07,0
2.23236e+07,0
2.23272e+07,0
2.23308e+07,0
2.23344e+07,0
2.2338e+07,0
2.23416e+07,0
2.23452e+07,0
2.23488e+07,0
2.23524e+07,0
2.2356e+07,0
2.23596e+07,0
2.23632e+07,0
2.23668e+07,0
2.23704e+07,0
2.2374e+07,0
2.23776e+07,0
2.23812e+07,0
2.23848e+07,0
2.23884e+07,0
2.2392e+07,0
2.23956e+07,0
2.23992e+07,0
2.24028e+07,0
2.24064e+07,0
2.241e+07,0
2.24136e+07,0
2.24172e+07,0
2.24208e+07,0
2.24244e+07,0
2.2428e+07,0
2.24316e+07,0
2.24352e+07,0
2.24388e+07,0
2.24424e+07,0
2.2446e+07,0
2.24496e+07,0
2.24532e+07,0
2.24568e+07,0
2.24604e+07,0
2.2464e+07,0
2.24676e+07,0
2.24712e+07,0
2.24748e+07,0
2.24784e+07,0
2.2482e+07,0
2.24856e+07,0
2.24892e+07,0
2.24928e+07,0
2.24964e+07,0
2.25e+07,0
2.25036e+07,0
2.25072e+07,0
2.25108e+07,0
2.25144e+07,0
2.2518e+07,0
2.25216e+07,0
2.25252e+07,0
2.25288e+07,0
2.25324e+07,0
2.2536e+07,0
2.25396e+07,0
2.25432e+07,0
2.25468e+07,0
2.25504e+07,0
2.2554e+07,0
2.25576e+07,0
2.25612e+07,0
2.25648e+07,0
2.25684e+07,0
2.2572e+07,0
2.25756e+07,0
2.25792e+07,0
2.25828e+07,0
2.25864e+07,0
2.259e+07,0
2.25936e+07,0
2.25972e+07,0
2.26008e+07,0
2.26044e+07,0
2.2608e+07,0
2.26116e+07,0
2.26152e+07,0
2.26188e+07,0
2.26224e+07,0
2.2626e+07,0
2.26296e+07,0
2.26332e+07,0
2.26368e+07,0
2.26404e+07,0
2.2644e+07,0
2.26476e+07,0
2.26512e+07,0
2.26548e+07,0
2.26584e+07,0
2.2662e+07,0
2.26656e+07,0
2.26692e+07,0
2.26728e+07,0
2.26764e+07,0
2.268e+07,0
2.26836e+07,0
2.26872e+07,0
2.26908e+07,0
2.26944e+07,0
2.2698e+07,0
2.27016e+07,0
2.27052e+07,0
2.27088e+07,0
2.27124e+07,0
2.2716e+07,0
2.27196e+07,0
