Time,sFH_FMU_UFH.mFlow_DHW,sFH_FMU_UFH.TDem_DHW
828000,283.15,0
828900,283.15,0
829800,286.15,0.01
830700,283.15,0
831600,283.15,0
832500,283.15,0
833400,286.15,0.01
834300,283.15,0
835200,283.15,0
836100,283.15,0
837000,286.15,0.01
837900,283.15,0
838800,283.15,0
839700,283.15,0
840600,283.15,0
841500,283.15,0
842400,286.15,0.01
843300,285.15,0.003333333
844200,318.15,0.003333333
845100,283.15,0
846000,286.15,0.01
846900,283.15,0
847800,283.15,0
848700,283.15,0
849600,283.15,0
850500,283.15,0
851400,328.15,0.017777779
852300,283.15,0
853200,283.15,0
854100,286.15,0.01
855000,297.15,0.046666667
855900,283.15,0
856800,283.15,0
857700,283.15,0
858600,283.15,0
859500,283.15,0
860400,283.15,0
861300,283.15,0
862200,283.15,0
863100,283.15,0
864000,283.15,0
864900,283.15,0
865800,283.15,0
866700,283.15,0
867600,283.15,0
868500,283.15,0
869400,283.15,0
870300,283.15,0
871200,283.15,0
872100,283.15,0
873000,283.15,0
873900,283.15,0
874800,283.15,0
875700,283.15,0
876600,283.15,0
877500,283.15,0
878400,283.15,0
879300,283.15,0
880200,283.15,0
881100,283.15,0
882000,283.15,0
882900,283.15,0
883800,283.15,0
884700,283.15,0
885600,283.15,0
886500,283.15,0
887400,283.15,0
888300,283.15,0
889200,300.15,0.056666667
890100,283.15,0
891000,286.15,0.01
891900,283.15,0
892800,286.15,0.01
893700,286.15,0.01
894600,286.15,0.01
895500,286.15,0.01
896400,286.15,0.01
897300,283.15,0
898200,286.15,0.01
899100,283.15,0
900000,283.15,0
900900,283.15,0
901800,285.15,0.003333333
902700,283.15,0
903600,283.15,0
904500,283.15,0
905400,286.15,0.01
906300,286.15,0.01
907200,283.15,0
908100,283.15,0
909000,283.15,0
909900,289.15,0.008888889
910800,283.15,0
911700,283.15,0
912600,283.15,0
913500,283.15,0
914400,283.15,0
915300,283.15,0
916200,286.15,0.01
917100,283.15,0
918000,283.15,0
918900,283.15,0
919800,286.15,0.01
920700,283.15,0
921600,283.15,0
922500,283.15,0
923400,286.15,0.01
924300,283.15,0
925200,283.15,0
926100,283.15,0
927000,283.15,0
927900,283.15,0
928800,286.15,0.01
929700,285.15,0.003333333
930600,285.15,0.003333333
931500,283.15,0
932400,286.15,0.01
933300,283.15,0
934200,283.15,0
935100,283.15,0
936000,283.15,0
936900,283.15,0
937800,295.15,0.017777779
938700,283.15,0
939600,283.15,0
940500,286.15,0.01
941400,297.15,0.046666667
942300,283.15,0
943200,283.15,0
944100,283.15,0
945000,283.15,0
945900,283.15,0
946800,283.15,0
947700,283.15,0
948600,283.15,0
949500,283.15,0
950400,283.15,0
951300,283.15,0
952200,283.15,0
953100,283.15,0
954000,283.15,0
954900,283.15,0
955800,283.15,0
956700,283.15,0
957600,283.15,0
958500,283.15,0
959400,283.15,0
960300,283.15,0
961200,283.15,0
962100,283.15,0
963000,283.15,0
963900,283.15,0
964800,283.15,0
965700,283.15,0
966600,283.15,0
967500,283.15,0
968400,283.15,0
969300,283.15,0
970200,283.15,0
971100,283.15,0
972000,283.15,0
972900,283.15,0
973800,283.15,0
974700,283.15,0
975600,300.15,0.056666667
976500,283.15,0
977400,286.15,0.01
978300,283.15,0
979200,286.15,0.01
980100,286.15,0.01
981000,286.15,0.01
981900,286.15,0.01
982800,286.15,0.01
983700,283.15,0
984600,286.15,0.01
985500,283.15,0
986400,283.15,0
987300,283.15,0
988200,285.15,0.003333333
989100,283.15,0
990000,283.15,0
990900,283.15,0
991800,286.15,0.01
992700,328.15,0.01
993600,283.15,0
994500,283.15,0
995400,283.15,0
996300,289.15,0.008888889
997200,283.15,0
998100,283.15,0
999000,283.15,0
999900,283.15,0
1000800,283.15,0
1001700,283.15,0
1002600,286.15,0.01
1003500,283.15,0
1004400,283.15,0
1005300,283.15,0
1006200,286.15,0.01
1007100,283.15,0
1008000,283.15,0
1008900,283.15,0
1009800,286.15,0.01
1010700,283.15,0
1011600,283.15,0
1012500,283.15,0
1013400,283.15,0
1014300,283.15,0
1015200,286.15,0.01
1016100,285.15,0.003333333
1017000,285.15,0.003333333
1017900,283.15,0
1018800,286.15,0.01
1019700,283.15,0
1020600,283.15,0
1021500,283.15,0
1022400,283.15,0
1023300,283.15,0
1024200,295.15,0.017777779
1025100,283.15,0
1026000,283.15,0
1026900,286.15,0.01
1027800,297.15,0.046666667
1028700,283.15,0
1029600,283.15,0
1030500,283.15,0
1031400,283.15,0
1032300,283.15,0
1033200,283.15,0
1034100,283.15,0
1035000,283.15,0
1035900,283.15,0
1036800,283.15,0
1037700,283.15,0
1038600,283.15,0
1039500,283.15,0
1040400,283.15,0
1041300,283.15,0
1042200,283.15,0
1043100,283.15,0
1044000,283.15,0
1044900,283.15,0
1045800,283.15,0
1046700,283.15,0
1047600,283.15,0
1048500,283.15,0
1049400,283.15,0
1050300,283.15,0
1051200,283.15,0
1052100,283.15,0
1053000,283.15,0
1053900,283.15,0
1054800,283.15,0
1055700,283.15,0
1056600,283.15,0
1057500,283.15,0
1058400,283.15,0
1059300,283.15,0
1060200,283.15,0
1061100,283.15,0
1062000,300.15,0.056666667
1062900,283.15,0
1063800,286.15,0.01
1064700,283.15,0
1065600,286.15,0.01
1066500,286.15,0.01
1067400,286.15,0.01
1068300,286.15,0.01
1069200,286.15,0.01
1070100,283.15,0
1071000,286.15,0.01
1071900,283.15,0
1072800,283.15,0
1073700,283.15,0
1074600,285.15,0.003333333
1075500,283.15,0
1076400,283.15,0
1077300,283.15,0
1078200,286.15,0.01
1079100,328.15,0.01
1080000,312.15,0
1080900,328.15,0
1081800,283.15,0
1082700,289.15,0.008888889
1083600,283.15,0
1084500,283.15,0
1085400,283.15,0
1086300,283.15,0
1087200,283.15,0
1088100,283.15,0
1089000,286.15,0.01
1089900,283.15,0
1090800,283.15,0
1091700,283.15,0
1092600,286.15,0.01
1093500,283.15,0
1094400,283.15,0
1095300,283.15,0
1096200,286.15,0.01
1097100,283.15,0
1098000,283.15,0
1098900,283.15,0
1099800,283.15,0
1100700,283.15,0
1101600,286.15,0.01
1102500,285.15,0.003333333
1103400,285.15,0.003333333
1104300,283.15,0
1105200,286.15,0.01
1106100,283.15,0
1107000,283.15,0
1107900,283.15,0
1108800,283.15,0
1109700,283.15,0
1110600,328.15,0.017777779
1111500,283.15,0
1112400,283.15,0
1113300,286.15,0.01
1114200,297.15,0.046666667
1115100,283.15,0
1116000,283.15,0
1116900,283.15,0
1117800,283.15,0
1118700,283.15,0
1119600,283.15,0
1120500,283.15,0
1121400,283.15,0
1122300,283.15,0
1123200,283.15,0
1124100,283.15,0
1125000,283.15,0
1125900,283.15,0
1126800,283.15,0
1127700,283.15,0
1128600,283.15,0
1129500,283.15,0
1130400,283.15,0
1131300,283.15,0
1132200,283.15,0
1133100,283.15,0
1134000,283.15,0
1134900,283.15,0
1135800,283.15,0
1136700,283.15,0
1137600,283.15,0
1138500,283.15,0
1139400,283.15,0
1140300,283.15,0
1141200,283.15,0
1142100,283.15,0
1143000,283.15,0
1143900,283.15,0
1144800,283.15,0
1145700,283.15,0
1146600,283.15,0
1147500,283.15,0
1148400,300.15,0.056666667
1149300,283.15,0
1150200,286.15,0.01
1151100,283.15,0
1152000,286.15,0.01
1152900,286.15,0.01
1153800,286.15,0.01
1154700,286.15,0.01
1155600,286.15,0.01
1156500,283.15,0
1157400,286.15,0.01
1158300,283.15,0
1159200,283.15,0
1160100,283.15,0
1161000,285.15,0.003333333
1161900,283.15,0
1162800,283.15,0
1163700,283.15,0
1164600,286.15,0.01
1165500,286.15,0.01
1166400,283.15,0
1167300,283.15,0
1168200,283.15,0
1169100,328.15,0.008888889
1170000,283.15,0
1170900,283.15,0
1171800,283.15,0
1172700,283.15,0
1173600,283.15,0
1174500,283.15,0
1175400,286.15,0.01
1176300,283.15,0
1177200,283.15,0
1178100,283.15,0
1179000,286.15,0.01
1179900,283.15,0
1180800,283.15,0
1181700,283.15,0
1182600,286.15,0.01
1183500,283.15,0
1184400,283.15,0
1185300,283.15,0
1186200,283.15,0
1187100,283.15,0
1188000,295,0.01
1188900,285.15,0.003333333
1189800,285.15,0.003333333
1190700,283.15,0
1191600,286.15,0.01
1192500,283.15,0
1193400,283.15,0
1194300,283.15,0
1195200,283.15,0
1196100,283.15,0
1197000,295.15,0.017777779
1197900,283.15,0
1198800,283.15,0
1199700,286.15,0.01
1200600,297.15,0.046666667
1201500,283.15,0
1202400,283.15,0
1203300,283.15,0
1204200,283.15,0
1205100,283.15,0
1206000,283.15,0
1206900,283.15,0
1207800,283.15,0
1208700,283.15,0
1209600,283.15,0
1210500,283.15,0
1211400,283.15,0
1212300,283.15,0
1213200,283.15,0
1214100,283.15,0
1215000,283.15,0
1215900,283.15,0
1216800,283.15,0
1217700,283.15,0
1218600,283.15,0
1219500,283.15,0
1220400,283.15,0
1221300,283.15,0
1222200,283.15,0
1223100,283.15,0
1224000,283.15,0
1224900,283.15,0
1225800,283.15,0
1226700,283.15,0
1227600,283.15,0
1228500,283.15,0
1229400,283.15,0
1230300,283.15,0
1231200,283.15,0
1232100,283.15,0
1233000,283.15,0
1233900,283.15,0
1234800,328.15,0.056666667
1235700,283.15,0
1236600,286.15,0.01
1237500,283.15,0
1238400,286.15,0.01
1239300,286.15,0.01
1240200,286.15,0.01
1241100,286.15,0.01
1242000,286.15,0.01
1242900,283.15,0
1243800,286.15,0.01
1244700,283.15,0
1245600,283.15,0
1246500,283.15,0
1247400,285.15,0.003333333
1248300,283.15,0
1249200,283.15,0
1250100,283.15,0
1251000,286.15,0.01
1251900,286.15,0.01
1252800,283.15,0
1253700,283.15,0
1254600,283.15,0
1255500,289.15,0.008888889
1256400,283.15,0
1257300,283.15,0
1258200,283.15,0
1259100,283.15,0
1260000,283.15,0
1260900,283.15,0
1261800,286.15,0.01
1262700,283.15,0
1263600,283.15,0
1264500,283.15,0
1265400,286.15,0.01
1266300,283.15,0
1267200,283.15,0
1268100,283.15,0
