Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
1494000,0,0,278.75,0
1497600,0,2755.0671,278.95,2.75
1501200,0,6590.838,279.35,22.891304
1504800,0,6834.252,280.05,45.989647
1508400,0,6521.094,279.35,72.33473
1512000,0,6371.21,278.95,99.17977
1515600,0,6570.9644,279.05,89.490906
1519200,0,6507.8647,278.85,80.19697
1522800,0,5631.401,278.75,57.966667
1526400,0,5126.4585,278.65,11.2
1530000,0,5249.9033,278.35,0
1533600,0,5854.2305,277.85,0
1537200,0,7120.4824,277.55,0
1540800,0,8033.4854,277.45,0
1544400,0,8343.244,277.45,0
1548000,0,1272.1249,277.05,0
1551600,0,0,276.85,0
1555200,0,0,276.85,0
1558800,0,0,276.25,0
1562400,0,0,276.05,0
1566000,0,0,275.95,0
1569600,0,0,275.95,0
1573200,0,0,275.95,0
1576800,0,0,275.75,0
1580400,0,0,275.75,0
1584000,0,3560.196,275.85,4.457143
1587600,0,7774.665,275.85,20.817858
1591200,0,8128.1772,276.05,56.688816
1594800,0,7575.8823,276.45,101.76645
1598400,0,7046.503,276.55,124.61579
1602000,0,7157.033,276.35,120.37395
1605600,0,6717.969,276.85,113.40987
1609200,0,5759.4683,277.05,59.47013
1612800,0,5421.341,276.55,8.4
1616400,0,5614.6436,275.85,0
1620000,0,6152.673,275.55,0
1623600,0,7297.917,275.35,0
1627200,0,8106.71,275.45,0
1630800,0,8381.119,275.25,0
1634400,0,1238.9614,275.05,0
1638000,0,0,274.95,0
1641600,0,0,274.85,0
1645200,0,0,274.75,0
1648800,0,0,274.75,0
1652400,0,0,274.75,0
1656000,0,0,274.75,0
1659600,0,0,274.65,0
1663200,0,0,274.55,0
1666800,0,0,274.25,0
1670400,0,4959.5303,274.35,4.0625
1674000,0,9099.58,274.05,29.721153
1677600,0,8638.636,273.95,48.94362
1681200,0,7956.4175,274.05,59.904305
1684800,0,7543.7593,274.25,59.004784
1688400,0,7585.8423,273.95,48.02435
1692000,0,7422.9673,274.05,43.314285
1695600,0,6750.9106,273.95,28.4625
1699200,0,6214.1567,273.95,5.5625
1702800,0,6082.8345,273.65,0
1706400,0,6254.101,273.65,0
1710000,0,6314.579,273.65,0
1713600,0,6154.695,273.55,0
1717200,0,6959.468,273.35,0
1720800,0,246.22382,273.05,0
1724400,0,0,272.85,0
1728000,0,0,272.65,0
1731600,0,0,272.35,0
1735200,0,0,272.15,0
1738800,0,0,272.15,0
1742400,0,0,272.25,0
1746000,0,0,272.35,0
1749600,0,0,272.35,0
1753200,0,0,272.65,0
1756800,0,4241.8784,272.35,4.1527777
1760400,0,8252.513,272.35,31.358585
1764000,0,8015.3403,272.25,47.09893
1767600,0,7528.1626,272.25,46.598038
1771200,0,7100.6196,272.25,45.166668
1774800,0,6856.138,272.35,39.5
1778400,0,6667.441,272.45,32.5
1782000,0,6255.58,272.65,20.9375
1785600,0,5879.4536,272.75,3.6875
1789200,0,5645.142,272.65,0
1792800,0,5580.8896,272.65,0
1796400,0,5552.7007,272.45,0
1800000,0,5428.5996,272.35,0
1803600,0,6277.475,272.25,0
1807200,0,0,272.25,0
1810800,0,0,272.25,0
1814400,0,0,272.15,0
1818000,0,0,271.95,0
1821600,0,0,271.75,0
1825200,0,0,271.75,0
1828800,0,0,271.15,0
1832400,0,0,270.75,0
1836000,0,0,270.35,0
1839600,0,0,270.25,0
1843200,0,3009.0051,270.05,5.4787736
1846800,0,7146.233,269.95,57.304882
1850400,0,6675.2407,270.55,159.53252
1854000,0,5103.8115,271.75,254.98032
1857600,0,3739.0742,273.75,290.84476
1861200,0,3035.2307,274.55,233.07288
1864800,0,2973.8274,274.75,146.95438
1868400,0,3070.39,274.35,70.108696
1872000,0,3221.5525,273.95,14.722826
1875600,0,3452.6807,273.05,0
1879200,0,3665.4006,272.95,0
1882800,0,4567.385,273.35,0
1886400,0,5379.9644,273.45,0
1890000,0,5709.183,273.55,0
1893600,0,0,273.45,0
1897200,0,0,273.35,0
1900800,0,0,273.25,0
1904400,0,0,273.35,0
1908000,0,0,273.45,0
1911600,0,0,273.15,0
1915200,0,0,273.15,0
1918800,0,0,273.15,0
1922400,0,0,273.05,0
1926000,0,0,273.25,0
1929600,0,1919.1583,273.15,0.795
1933200,0,5568.272,273.05,14.424444
1936800,0,6145.8726,272.65,29.28376
1940400,0,6012.9146,272.95,44
1944000,0,5599.805,273.35,63.679485
1947600,0,5333.6436,273.45,63.942307
1951200,0,5177.8657,273.65,52.017857
1954800,0,4850.464,273.85,31.171957
1958400,0,4567.5674,273.85,6.685185
1962000,0,4415.3735,273.75,0
1965600,0,4385.484,273.85,0
1969200,0,5210.6367,273.75,0
1972800,0,5997.158,273.75,0
1976400,0,6298.929,273.65,0
1980000,0,0,273.25,0
1983600,0,0,273.25,0
1987200,0,0,273.15,0
1990800,0,0,273.15,0
1994400,0,0,273.25,0
1998000,0,0,273.15,0
2001600,0,0,273.25,0
2005200,0,0,273.05,0
2008800,0,0,272.85,0
2012400,0,0,272.85,0
2016000,0,2179.0547,272.95,3.0555556
2019600,0,5966.2188,272.85,29.552496
2023200,0,6412.562,273.05,57.488674
2026800,0,6136.6475,273.25,88.64264
2030400,0,5585.4097,273.55,106.043106
2034000,0,5307.246,273.85,79.589485
2037600,0,5201.8936,273.85,59.07036
2041200,0,4893.386,273.95,34.58208
2044800,0,4652.579,273.95,4.97561
2048400,0,4500.084,273.85,0
2052000,0,4467.933,273.95,0
2055600,0,5236.389,274.35,0
2059200,0,5940.4844,274.65,0
2062800,0,6173.3955,274.85,0
2066400,0,0,275.15,0
2070000,0,0,275.25,0
2073600,0,0,275.45,0
2077200,0,0,275.75,0
2080800,0,0,275.95,0
2084400,0,0,275.95,0
2088000,0,0,275.85,0
2091600,0,0,275.55,0
2095200,0,0,275.65,0
2098800,0,0,275.65,0
2102400,0,1939.2098,275.25,3.2717392
2106000,0,5538.7563,275.25,33.250584
2109600,0,5942.085,275.25,71.50893
2113200,0,5629.9653,275.55,88.99171
2116800,0,5265.136,275.85,80.68988
2120400,0,5107.919,276.55,54.640423
2124000,0,5135.9985,275.65,32.716183
2127600,0,4848.037,276.05,24.585556
2131200,0,4537.287,275.55,9.345
2134800,0,4496.216,275.25,0
2138400,0,4651.673,275.15,0
2142000,0,5684.0576,274.25,0
2145600,0,6573.052,274.35,0
2149200,0,6893.2563,274.25,0
2152800,0,0,274.25,0
2156400,0,0,273.95,0
2160000,0,0,273.95,0
2163600,0,0,274.45,0
2167200,0,0,274.65,0
2170800,0,0,274.25,0
2174400,0,0,273.85,0
2178000,0,0,273.65,0
2181600,0,0,273.45,0
2185200,0,0,273.25,0
2188800,0,2565.3308,273.35,3.0059524
2192400,0,6488.8965,273.45,28.567324
2196000,0,6924.6123,273.65,47.49617
2199600,0,6687.966,273.85,47.737373
2203200,0,6376.777,274.15,44.429295
2206800,0,6343.908,273.55,42.428104
2210400,0,6224.2666,273.75,47.94293
2214000,0,5692.306,273.85,34.836823
2217600,0,5349.35,273.45,4.5560346
2221200,0,5250.5776,273.25,0
2224800,0,5361.1143,273.05,0
